,TP,FP,TN,FN,A,B,C,D,E,F,G,H,Precision,Fitness,F1,N,P,T
84,429,35,465,71,0,1,1,1,1,1,1,0,0.9245689655172413,0.858,0.8900414937759336,0.8976833976833978,0.8900414937759336,0.8940163095667286
85,395,85,415,105,1,1,1,1,0,1,0,0,0.8229166666666666,0.79,0.806122448979592,0.8137254901960785,0.806122448979592,0.8100178342942116
86,465,25,475,35,0,1,0,1,1,1,1,0,0.9489795918367347,0.93,0.9393939393939393,0.9405940594059405,0.9393939393939393,0.9400003830170252
87,410,80,420,90,1,1,0,1,0,1,0,0,0.8367346938775511,0.82,0.8282828282828283,0.8316831683168315,0.8282828282828283,0.8300034822759383
88,494,5,495,6,0,2,0,1,0,0,1,0,0.9899799599198397,0.988,0.988988988988989,0.989010989010989,0.988988988988989,0.989000000122346
89,475,0,500,25,1,2,0,1,1,0,0,0,1.0,0.95,0.9743589743589743,0.975609756097561,0.9743589743589743,0.9750004008915829
90,433,53,447,67,0,2,1,1,0,0,1,0,0.8909465020576132,0.866,0.8782961460446248,0.8816568047337278,0.8782961460446248,0.8800032079014759
91,430,0,500,70,1,2,1,1,1,0,0,0,1.0,0.86,0.924731182795699,0.9345794392523363,0.924731182795699,0.9300259443315255
92,410,87,413,90,1,1,1,0,0,1,1,1,0.8249496981891348,0.82,0.8224674022066198,0.8235294117647058,0.8224674022066198,0.8230003426045415
93,390,77,423,110,1,1,0,0,0,1,1,1,0.8351177730192719,0.78,0.8066184074457085,0.8189738625363019,0.8066184074457085,0.8130468914596335
94,439,43,457,61,1,2,0,0,1,0,1,1,0.9107883817427386,0.878,0.8940936863543788,0.8978388998035364,0.8940936863543788,0.8960039124104782
95,369,112,388,131,1,2,1,0,1,0,1,1,0.7671517671517671,0.738,0.7522935779816513,0.7615309126594701,0.7522935779816513,0.7570281695998728
96,466,29,471,34,0,0,0,1,1,0,1,1,0.9414141414141414,0.932,0.9366834170854271,0.9373134328358208,0.9366834170854271,0.9370001058991256
97,500,0,500,0,0,0,1,1,1,0,1,1,1.0,1.0,1.0,1.0,1.0,1.0
98,500,0,500,0,0,0,0,0,1,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0
99,444,41,459,56,1,0,0,0,0,0,1,0,0.9154639175257732,0.888,0.9015228426395939,0.9044334975369457,0.9015228426395939,0.9030023449628325
100,485,13,487,15,0,0,1,0,1,0,0,0,0.9738955823293173,0.97,0.9719438877755512,0.9720558882235529,0.9719438877755512,0.9720000032263505
101,382,104,396,118,1,0,1,0,0,0,1,0,0.7860082304526749,0.764,0.7748478701825559,0.7810650887573966,0.7748478701825559,0.7780124184545827
102,382,104,396,118,1,0,1,0,0,0,1,1,0.7860082304526749,0.764,0.7748478701825559,0.7810650887573966,0.7748478701825559,0.7780124184545827
103,444,41,459,56,1,0,0,0,0,0,1,1,0.9154639175257732,0.888,0.9015228426395939,0.9044334975369457,0.9015228426395939,0.9030023449628325
104,474,20,480,26,1,0,1,1,0,0,0,0,0.9595141700404858,0.948,0.9537223340040242,0.9542743538767396,0.9537223340040242,0.9540000798519314
105,500,0,500,0,0,0,1,1,1,0,1,0,1.0,1.0,1.0,1.0,1.0,1.0
106,478,11,489,22,1,0,0,1,0,0,0,0,0.9775051124744376,0.956,0.9666329625884732,0.9673590504451038,0.9666329625884732,0.9670001362822606
107,466,29,471,34,0,0,0,1,1,0,1,0,0.9414141414141414,0.932,0.9366834170854271,0.9373134328358208,0.9366834170854271,0.9370001058991256
108,425,49,451,75,1,0,1,1,0,0,1,0,0.8966244725738397,0.85,0.8726899383983572,0.8791423001949318,0.8726899383983572,0.8760118735242193
109,500,0,500,0,0,0,1,1,1,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0
110,456,47,453,44,1,0,0,1,0,0,1,0,0.9065606361829026,0.912,0.9092721834496511,0.9087261785356068,0.9092721834496511,0.909000081990837
111,500,0,500,0,0,0,0,1,1,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0
112,390,61,439,110,0,0,1,0,1,0,1,1,0.8647450110864745,0.78,0.8201892744479495,0.8369876072449953,0.8201892744479495,0.8290848933839002
113,459,17,483,41,0,0,0,0,1,0,1,1,0.9642857142857143,0.918,0.9405737704918032,0.943359375,0.9405737704918032,0.9420020581536493
114,459,17,483,41,0,0,0,0,1,0,1,0,0.9642857142857143,0.918,0.9405737704918032,0.943359375,0.9405737704918032,0.9420020581536493
115,427,43,457,73,1,0,0,0,0,0,0,0,0.9085106382978724,0.854,0.8804123711340206,0.887378640776699,0.8804123711340206,0.8840137118882108
116,390,61,439,110,0,0,1,0,1,0,1,0,0.8647450110864745,0.78,0.8201892744479495,0.8369876072449953,0.8201892744479495,0.8290848933839002
117,440,56,444,60,1,0,1,0,0,0,0,0,0.8870967741935484,0.88,0.8835341365461847,0.8844621513944223,0.8835341365461847,0.8840002435514082
118,456,47,453,44,1,0,0,1,0,0,1,1,0.9065606361829026,0.912,0.9092721834496511,0.9087261785356068,0.9092721834496511,0.909000081990837
119,425,49,451,75,1,0,1,1,0,0,1,1,0.8966244725738397,0.85,0.8726899383983572,0.8791423001949318,0.8726899383983572,0.8760118735242193
120,430,72,428,70,0,1,1,0,1,1,1,1,0.8565737051792829,0.86,0.8582834331337326,0.8577154308617235,0.8582834331337326,0.8580000940050381
121,326,178,322,174,0,1,0,0,1,1,1,1,0.6468253968253969,0.652,0.6494023904382471,0.6465863453815262,0.6494023904382471,0.6480030594069752
122,483,11,489,17,0,2,0,0,0,0,1,1,0.9777327935222672,0.966,0.9718309859154929,0.9721669980119284,0.9718309859154929,0.9720000290380824
123,432,60,440,68,0,2,1,0,0,0,1,1,0.8780487804878049,0.864,0.8709677419354839,0.873015873015873,0.8709677419354839,0.8720012025723775
124,376,83,417,124,0,1,1,1,1,1,0,0,0.8191721132897604,0.752,0.7841501564129301,0.8011527377521614,0.7841501564129301,0.7930909841789572
125,419,57,443,81,1,1,1,1,0,1,1,0,0.8802521008403361,0.838,0.858606557377049,0.865234375,0.858606557377049,0.8620127327911642
126,425,61,439,75,0,1,0,1,1,1,0,0,0.8744855967078189,0.85,0.8620689655172414,0.8658777120315582,0.8620689655172414,0.8640041966744
127,451,52,448,49,1,1,0,1,0,1,1,0,0.8966202783300199,0.902,0.8993020937188434,0.8986960882647944,0.8993020937188434,0.8990001021243896
128,498,1,499,2,0,2,0,1,0,0,0,0,0.9979959919839679,0.996,0.9969969969969971,0.997002997002997,0.9969969969969971,0.9970000000090271
129,426,52,448,74,1,2,0,1,1,0,1,0,0.891213389121339,0.852,0.8711656441717791,0.8767123287671232,0.8711656441717791,0.8740087960009715
130,489,9,491,11,0,2,1,1,0,0,0,0,0.9819277108433735,0.978,0.9799599198396793,0.9800399201596806,0.9799599198396793,0.9800000016326595
131,470,8,492,30,1,2,1,1,1,0,1,0,0.9832635983263598,0.94,0.9611451942740286,0.9628180039138943,0.9611451942740286,0.9620007268549162
132,470,8,492,30,1,2,1,1,1,0,1,1,0.9832635983263598,0.94,0.9611451942740286,0.9628180039138943,0.9611451942740286,0.9620007268549162
133,426,52,448,74,1,2,0,1,1,0,1,1,0.891213389121339,0.852,0.8711656441717791,0.8767123287671232,0.8711656441717791,0.8740087960009715
134,451,52,448,49,1,1,0,1,0,1,1,1,0.8966202783300199,0.902,0.8993020937188434,0.8986960882647944,0.8993020937188434,0.8990001021243896
135,419,57,443,81,1,1,1,1,0,1,1,1,0.8802521008403361,0.838,0.858606557377049,0.865234375,0.858606557377049,0.8620127327911642
136,452,57,443,48,1,2,1,0,1,0,0,0,0.888015717092338,0.904,0.8959365708622398,0.8940464177598386,0.8959365708622398,0.8950009978741239
137,432,60,440,68,0,2,1,0,0,0,1,0,0.8780487804878049,0.864,0.8709677419354839,0.873015873015873,0.8709677419354839,0.8720012025723775
138,421,63,437,79,1,2,0,0,1,0,0,0,0.8698347107438017,0.842,0.8556910569105691,0.860236220472441,0.8556910569105691,0.858006017838935
139,483,11,489,17,0,2,0,0,0,0,1,0,0.9777327935222672,0.966,0.9718309859154929,0.9721669980119284,0.9718309859154929,0.9720000290380824
